Inches,ScreenResolution,Cpu,Ram,Weight,TouchScreen,HDD,SSD,SSHD,FStorage,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,LaptopPrice
14.0,4,15,8,1.63,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,860.0
15.6,4,3,4,2.2,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,399.0
15.6,1,5,4,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,395.0
15.6,4,16,16,2.65,0,1000,128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1349.0
15.6,4,16,8,1.83,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,699.0
15.6,4,15,8,1.96,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,598.99
15.6,4,16,16,2.2,0,1000,128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1449.0
13.3,4,16,8,1.21,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1649.0
15.6,4,7,8,2.45,0,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,699.0
15.6,4,16,8,2.2,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,689.0
13.3,4,16,16,1.49,0,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1197.0
15.6,4,15,8,2.65,0,0,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1195.0
14.0,4,16,8,1.25,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1049.0
13.3,4,15,8,1.5,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,847.0
15.6,4,16,8,2.2,0,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,599.9
15.6,4,14,4,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,485.0
15.6,4,14,6,2.0,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,577.0
15.6,4,16,12,2.62,0,1000,128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1249.0
15.6,4,16,8,1.91,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,719.0
15.6,4,6,4,2.1,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,349.0
15.6,4,15,8,2.2,0,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,647.0
13.3,4,16,8,1.38,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1119.0
13.5,8,15,8,1.25,1,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1340.0
14.0,4,15,6,1.58,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,659.0
15.6,4,14,4,1.85,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,414.9
14.0,4,16,8,1.3,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1193.0
15.6,4,16,16,2.2,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1299.0
14.0,4,16,8,1.58,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1480.0
15.6,4,16,16,1.5,0,1000,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1262.0
13.3,13,16,8,1.23,1,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1379.0
13.3,4,15,8,1.37,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1399.0
14.0,1,15,4,1.63,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,722.0
13.3,4,15,8,1.21,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1629.0
13.3,4,15,8,1.26,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1398.99
14.0,4,16,8,1.63,0,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1084.0
15.6,4,16,8,2.16,0,1000,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1130.33
17.3,4,14,4,2.0,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,564.0
15.6,4,16,8,1.7,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1118.0
15.6,4,14,6,2.1,1,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,479.0
15.6,4,16,16,1.8,0,2000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2241.5
15.6,4,15,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,629.0
17.3,4,16,16,2.5,0,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1271.0
15.6,1,5,4,2.1,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,451.0
15.6,1,10,4,1.86,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,259.0
14.0,4,15,8,1.63,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,812.0
14.0,1,6,4,1.65,0,0,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,277.99
17.3,4,16,16,2.8,0,2000,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1396.0
17.3,4,15,8,2.5,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,928.0
15.6,1,15,8,2.36,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,638.99
15.6,4,14,4,2.2,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,449.0
14.0,4,16,8,1.6,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,884.0
15.6,4,14,4,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,572.0
15.6,1,16,8,2.05,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,598.0
14.0,4,16,8,1.63,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,988.0
15.6,1,10,4,1.9,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,252.36
17.3,4,15,8,3.0,0,1000,128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,938.0
15.6,4,15,4,2.2,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,499.0
13.3,4,15,4,1.32,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,699.0
17.3,4,14,4,3.0,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,655.0
